ID,NAME,SURF,POP,URB,GDP
SAU,Saudi Arabia,2150,23613,19120,310050
SWE,Sweden,410,9066,7621,356777
TUR,Turkey,770,71169,49097,361906
BEL,Belgium,31,10415,10115,374826
CHE,Switzerland,40,7441,5441,397664
NLD,Netherlands,35,16604,13314,629697
AUS,Australia,7682,20395,17912,704832
RUS,Russian Federation,16378,143170,104985,744984
MEX,Mexico,1909,105330,79564,755035
BRA,Brazil,8459,186075,157369,770748
KOR,Republic of Korea,99,47566,38673,786906
IND,India,2973,1130620,325563,800074
CAN,Canada,9094,32307,25856,1093580
ESP,Spain,499,43060,33295,1106620
ITA,Italy,294,58645,39652,1756760
FRA,France,666,63539,48757,2146131
GBR,United Kingdom ,256,60568,54280,2248854
CHN,China,9599,1312250,538190,2422950
DEU,Germany,349,82409,60630,2799610
JPN,Japan,365,127449,84363,4641470
USA,United States of America,9169,307075,246483,12506277
SOM,Somalia,627,8354,2884,NA
IRQ,Iraq,437,28238,18729,NA
ESH,Western Sahara,NA,440,356,NA
PRK,Democratic People's Republic of Korea,120,23529,14546,NA
CUB,Cuba,110,11193,8512,NA
QAT,Qatar,11,885,760,NA
BRN,Brunei Darussalam,5,370,275,NA
MNE,Montenegro,NA,625,372,NA
